HPILSQ[HPILS1],HPILSQ[HPILS2],HPILSQ[HPILS3],HPILSQ[HPILS4],HPILSQ[HPILS5],HPILSQ[HPILS6],HPILSQ[HPILS7],HPILSQ[HPILS8],HPILSQ[HPILS9],HPILSQ[HPILS10],HPILSQ[HPILS11],HPILSQ[HPILS12],HPILSQ[HPILS13],HPILSQ[HPILS14],HPILSQ[HPILS15],HPILSQ[HPILS16],HPILSQ[HPILS17],HPILSA,HPILSB,HPILSC,HPILSD,HPILSMAX,HPILSDOM,HPILSRESULT,CommuteTime[In],CommuteTime[Out],OffCampusResps,HomeCity,HomeCity[comment],BB01,BB03,BB02,BB04,BB08,BB05,BB06,BB07,BB11,BB09,BB10,BB14,BB12,BB13,BB16,BB15,BB18,BB17,BBL,BBR,BBA,BBB,BBLR,BBQuadrant,BBAB,BBLabel,BBResults,BBDebug,DontCall,DontCallJusticiation,FS02,FS01,FS07,FS03,FS04,FS05,FS06,FS10,FS08,FS09,FS12,FS11,FS13,FS14,FS16,FS15,FS19,FS17,FS18,FS25,FS20,FS21,FS22,FS23,FS24,FS29,FS26,FS27,FS28,FS36,FS30,FS31,FS32,FS33,FS34,FS35,FS42,FS37,FS38,FS39,FS40,FS41,FS43,FS44,FSActive,FSReflective,FSSensory,FSIntuitive,FSVisual,FSVerbal,FSSequential,FSGlobal,FSActRefCalc,FSSensIntCalc,FSVisVerbCalc,FSSeqGlobCalc,FSIsActive,FSIsReflective,FSActRefStrength,FSActRefLabel,FSIsSensing,FSIsIntuitive,FSSensIntStrength,FSSensIntLabel,FSIsVisual,FSIsVerbal,FSVisVerbStrength,FSVisVerbLabel,FSIsSequential,FSIsGlobal,FSSeqGlobStrength,FSSeqGlobLabel,FSDisplayResults,DUCKAll[DUCK01],DUCKAll[DUCK02],DUCKAll[DUCK03],DUCKAll[DUCK04],DUCKAll[DUCK05],DUCKAll[DUCK06],DUCKAll[DUCK07],DUCKAll[DUCK08],DUCKAll[DUCK09],DUCKAll[DUCK10],DUCKAll[DUCK11],DUCKAll[DUCK12],DUCKRESULT,DUCKCALC,PortableTech[NONE],PortableTech[ANDROID],PortableTech[APHABLET],PortableTech[ATABLET],PortableTech[IPHONE],PortableTech[iPAD],PortableTech[SURFACE],PortableTech[CHROMEBOOK],PortableTech[WINDOWS],PortableTech[LINUX],PortableTech[MACBOOK],PortableTech[other],CommonLanguages[Arabic],CommonLanguages[Chinese],CommonLanguages[Farsi],CommonLanguages[French],CommonLanguages[German],CommonLanguages[Hindi],CommonLanguages[Japanese],CommonLanguages[Korean],CommonLanguages[Malay],CommonLanguages[Russian],CommonLanguages[Slav],CommonLanguages[Spanish],CommonLanguages[Tamil],CommonLanguages[Urdu],CommonLanguages[CustomOther],Farsi[Argue],Farsi[Chat],Farsi[Write],Farsi[Notes],Farsi[Joke],Farsi[Read],English[Argue],English[Chat],English[Write],English[Notes],English[Joke],English[Read],ArabicProficiency[Argue],ArabicProficiency[Chat],ArabicProficiency[Write],ArabicProficiency[Notes],ArabicProficiency[Joke],ArabicProficiency[Read],ChineseDialects[Dialect1],ChineseDialects[Dialect2],ChineseDialects[Dialect3],Chinese[Guan],Chinese[Wu],Chinese[Yue],Chinese[Min],Chinese[Xiang],Chinese[Hakka],Chinese[Gan],Chinese[Jin],Chinese[Other1],French[Argue],French[Chat],French[Write],French[Notes],French[Joke],French[Read],Hindi[Argue],Hindi[Chat],Hindi[Write],Hindi[Notes],Hindi[Joke],Hindi[Read],Malay[Argue],Malay[Chat],Malay[Write],Malay[Notes],Malay[Joke],Malay[Read],Japanese[Argue],Japanese[Chat],Japanese[Write],Japanese[Notes],Japanese[Joke],Japanese[Read],Korean[Argue],Korean[Chat],Korean[Write],Korean[Notes],Korean[Joke],Korean[Read],German[Argue],German[Chat],German[Write],German[Notes],German[Joke],German[Read],OtherLanguages[Other1],OtherLanguages[Other2],OtherLanguages[Other3],OtherLanguages[Other4],Slav[Argue],Slav[Chat],Slav[Write],Slav[Notes],Slav[Joke],Slav[Read],Russian[Argue],Russian[Chat],Russian[Write],Russian[Notes],Russian[Joke],Russian[Read],Tamil[Argue],Tamil[Chat],Tamil[Write],Tamil[Notes],Tamil[Joke],Tamil[Read],Spanish[Argue],Spanish[Chat],Spanish[Write],Spanish[Notes],Spanish[Joke],Spanish[Read],Urdu[Argue],Urdu[Chat],Urdu[Write],Urdu[Notes],Urdu[Joke],Urdu[Read],Guan[Argue],Guan[Chat],Guan[Write],Guan[Notes],Guan[Joke],Guan[Read],Wu[Argue],Wu[Chat],Wu[Write],Wu[Notes],Wu[Joke],Wu[Read],Yue[Argue],Yue[Chat],Yue[Write],Yue[Notes],Yue[Joke],Yue[Read],Min[Argue],Min[Chat],Min[Write],Min[Notes],Min[Joke],Min[Read],Xiang[Argue],Xiang[Chat],Xiang[Write],Xiang[Notes],Xiang[Joke],Xiang[Read],ChineseDialect3[Argue],ChineseDialect3[Chat],ChineseDialect3[Write],ChineseDialect3[Notes],ChineseDialect3[Joke],ChineseDialect3[Read],Hakka[Argue],Hakka[Chat],Hakka[Write],Hakka[Notes],Hakka[Joke],Hakka[Read],Gan[Argue],Gan[Chat],Gan[Write],Gan[Notes],Gan[Joke],Gan[Read],Jin[Argue],Jin[Chat],Jin[Write],Jin[Notes],Jin[Joke],Jin[Read],ChineseDialect1[Argue],ChineseDialect1[Chat],ChineseDialect1[Write],ChineseDialect1[Notes],ChineseDialect1[Joke],ChineseDialect1[Read],ChineseDialect2[Argue],ChineseDialect2[Chat],ChineseDialect2[Write],ChineseDialect2[Notes],ChineseDialect2[Joke],ChineseDialect2[Read],OtherLang2[Argue],OtherLang2[Chat],OtherLang2[Write],OtherLang2[Notes],OtherLang2[Joke],OtherLang2[Read],OtherLang3[Argue],OtherLang3[Chat],OtherLang3[Write],OtherLang3[Notes],OtherLang3[Joke],OtherLang3[Read],OtherLang4[Argue],OtherLang4[Chat],OtherLang4[Write],OtherLang4[Notes],OtherLang4[Joke],OtherLang4[Read],OtherLang1[Argue],OtherLang1[Chat],OtherLang1[Write],OtherLang1[Notes],OtherLang1[Joke],OtherLang1[Read],EngrMotivation,GeneralMotivations[MOST],GeneralMotivations[SECOND],GeneralMotivations[THIRD],CEABAttributes,RankBySelf[1],RankBySelf[2],RankBySelf[3],RankBySelf[4],RankBySelf[5],RankBySelf[6],RankBySelf[7],RankBySelf[8],RankBySelf[9],RankBySelf[10],RankBySelf[11],RankBySelf[12],RankByIndustry[1],RankByIndustry[2],RankByIndustry[3],RankByIndustry[4],RankByIndustry[5],RankByIndustry[6],RankByIndustry[7],RankByIndustry[8],RankByIndustry[9],RankByIndustry[10],RankByIndustry[11],RankByIndustry[12],RankByLearning[1],RankByLearning[2],RankByLearning[3],RankByLearning[4],RankByLearning[5],RankByLearning[6],RankByLearning[7],RankByLearning[8],RankByLearning[9],RankByLearning[10],RankByLearning[11],RankByLearning[12],AccessProfile,AccessBBA
S,U,S,S,U,S,U,R,U,U,S,R,S,R,U,S,U,5,7,2,3,7,Assimilator,,20,20,N,T,,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,B,6,3,9,0,L,LA,A,Analytical,,,N,,B,B,A,A,A,B,B,B,B,B,A,A,A,B,A,B,A,A,A,B,A,A,A,A,B,B,A,A,A,A,A,A,B,B,A,A,A,B,B,A,B,B,A,A,4,7,6,5,10,1,7,4,-3,1,9,3,,1,slightly,slightly Reflective,,1,slightly,slightly Intuitive,,1,very strongly,very strongly Verbal,,1,slightly,slightly Global,,VM,VM,VM,M,VM,VM,VM,VM,S,VM,M,M,,2.8,,Y,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,Comfy,Manag,Comfy,Comfy,Manag,Comfy,,,,,,,,,,Y,,,,,,,,,Manag,Manag,Manag,Manag,Manag,Manag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manag,Manag,Manag,Manag,Manag,Manag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"As an engineer, I wanted to continue learning the science and math which I found so engaging to learn in high school while developing the ability to apply abstract theories and concepts to the real world. It has always been a dream of mine to develop novel technology with widespread applications, and in engineering, I believe I will have the resources and networking available to accomplish just that.","Living a happy, active, and fulfilling life.",Achieving financial independence to pursue my ideal lifestyle.,Developing or contributing something to the world that will remain as my legacy.,,GA07,GA02,GA12,GA01,GA03,GA06,GA04,GA09,GA05,GA11,GA08,GA10,GA07,GA06,GA01,GA11,GA02,GA08,GA05,GA03,GA04,GA10,GA09,GA12,GA01,GA04,GA03,GA05,GA06,GA07,GA02,GA12,GA09,GA11,GA08,GA10,Y,N
S,U,S,U,U,U,S,U,U,U,U,U,U,S,S,U,U,0,7,6,4,7,Assimilator,,10,10,N,T,,B,B,B,A,A,B,B,B,B,B,B,A,B,B,A,B,A,B,0,9,5,4,R,RA,A,Driver,,,N,,B,B,B,A,A,A,A,A,A,A,A,B,A,A,A,B,A,B,A,B,A,B,A,B,A,A,A,B,A,A,A,B,B,A,A,B,A,A,A,A,B,B,A,A,7,4,10,1,4,7,9,2,3,9,-3,7,,1,slightly,slightly Reflective,,1,very strongly,very strongly Intuitive,,1,slightly,slightly Verbal,,1,moderately,moderately Global,,S,NM,VM,NM,VM,VM,NM,NM,M,M,NM,VM,,3.4,,,,,Y,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,Comfy,Comfy,Comfy,Comfy,Comfy,Comfy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I chose engineering because it cominbined my love for math and science. The idea of implementing the information I learn to make the world a better place, is a very apealing concept to me. I would love to apply my love for learning and knowledge to tasks that will make the future a brighter place.","Making the world a safer, happier place",Being an expert in my field,Creating a stable and comfortable life for myself and my loved ones,,GA01,GA08,GA02,GA10,GA07,GA03,GA11,GA06,GA12,GA04,GA09,GA05,GA01,GA07,GA08,GA05,GA10,GA02,GA11,GA06,GA04,GA03,GA09,GA12,GA01,GA08,GA11,GA02,GA03,GA04,GA06,GA10,GA05,GA12,GA07,GA09,Y,Y
U,R,S,S,U,U,S,S,S,U,U,S,S,S,S,R,S,2,7,5,3,7,Assimilator,,10,10,N,T,,B,B,B,B,B,A,B,B,B,A,B,A,A,B,A,A,B,B,3,6,3,6,R,RB,B,Expressive,,,N,,A,A,A,B,B,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,B,A,A,A,B,A,A,A,B,B,B,A,A,A,A,B,B,B,A,A,A,A,A,B,7,4,9,2,9,2,5,6,3,7,7,-1,,1,slightly,slightly Reflective,,1,moderately,moderately Intuitive,,1,moderately,moderately Verbal,,1,slightly,slightly Global,,M,VM,VM,M,VM,S,M,VM,NM,M,VM,M,,2.3,,Y,,,,,,,Y,Y,,,,Y,,,,,,,,,,,,,,,,,,,,Comfy,Comfy,Comfy,Comfy,Comfy,Comfy,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manag,Comfy,Frust,Frust,Comfy,Frust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"My motivation boils down to the fact that engineering focuses on applying math and science to solve real world problems. With solving real world problems comes the need for a very wide range of skills, making engineering, especially EngSci a very interdisciplinary field. The ability for me to learn these wide range of skills, and how they can be integrated into a practical application was the main motivating factor for me picking Engineering.",Making money,Not being rejected by my family,Telling people that their schedule isn't that bad,,GA01,GA04,GA02,GA10,GA09,GA07,GA08,GA05,GA03,GA11,GA06,GA12,GA01,GA05,GA02,GA04,GA03,GA07,GA08,GA06,GA09,GA10,GA11,GA12,GA05,GA01,GA02,GA03,GA04,GA06,GA12,GA07,GA08,GA11,GA09,GA10,Y,N
S,S,S,U,S,R,S,U,U,U,U,U,U,S,S,U,U,0,4,9,4,9,Converger,,50,50,N,N,,B,B,B,B,B,B,B,A,B,A,B,A,B,A,A,B,B,B,3,6,2,7,R,RB,B,Expressive,,,N,,B,B,B,A,A,A,B,B,A,B,A,B,A,B,A,B,B,B,B,B,B,B,A,A,A,B,B,B,B,B,B,B,A,A,B,B,B,A,B,A,B,B,A,B,4,7,1,10,4,7,6,5,-3,-9,-3,1,,1,slightly,slightly Reflective,,1,very strongly,very strongly Intuitive,,1,slightly,slightly Verbal,,1,slightly,slightly Global,,VM,S,S,VM,S,VM,M,NM,M,VM,VM,VM,,3.8,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comfy,Comfy,Comfy,Comfy,Comfy,Comfy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"When I accepted my offer to engineering, it was because I liked the way engineering integrates mathematics and sciences in a way that works to solve problems.  I wanted to positively impact others, and engineering seemed like a way I could put my passions to good use.  However, my motivations have grown and deepened since then.  Now, I am motivated to experience the process of design, be creative and learn more about research.  In particular, I want to see the ways engineering pertains to fields like biology and medicine, and explore this area of research.  Coming to complete an undergraduate Engineering degree was a way I could build a breadth of knowledge that could help me if pursuing a career in academia or industry.  Thus, there was also a sizeable amount of indecisiveness that contributed to my decision, as contradictory as that may sound.  I loved the way the engineering skill set applies to a wide variety of careers within different fields.  As a whole, I am excited to grow through an undergraduate Engineering degree and do one of my favourite things—learning.",Improving the lives of others in tangible ways,"Making new discoveries, thus satisfying my curiosity and thirst for knowledge",Experiencing new things,,GA10,GA07,GA12,GA04,GA06,GA09,GA05,GA01,GA02,GA03,GA08,GA11,GA08,GA07,GA06,GA12,GA05,GA04,GA11,GA10,GA01,GA03,GA02,GA09,GA01,GA07,GA05,GA04,GA06,GA09,GA08,GA11,GA02,GA03,GA10,GA12,Y,Y
U,U,S,U,U,U,U,U,S,S,U,U,U,S,S,U,S,1,8,7,1,8,Assimilator,,10,10,N,T,,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,0,9,0,9,R,RB,B,Expressive,,,N,,B,A,A,A,B,B,B,B,B,A,A,A,A,B,B,B,A,B,B,B,B,B,A,A,B,B,B,B,B,B,B,B,B,A,B,B,B,A,B,B,B,B,A,B,5,6,1,10,6,5,1,10,-1,-9,1,-9,,1,slightly,slightly Reflective,,1,very strongly,very strongly Intuitive,,1,slightly,slightly Verbal,,1,very strongly,very strongly Global,,VM,VM,S,S,VM,VM,M,S,S,VM,M,VM,,3.2,,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,Comfy,Comfy,Comfy,Comfy,Comfy,Comfy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"My motivation to pursue a post-secondary education was reaffirmed this past year, during which I took a break from academics to go abroad independently and secure myself financially. During my travels and employment, I greatly missed the rigor of schoolwork and the stimulation that comes with an invigorating academic environment; although I pursued self-driven studies during this time, the lack of a like-minded community served to make the experience intellectually isolating rather than engaging. I prefer to be in situations where I am forced to reexamine myself and outgrow my limitations, despite feeling out of my depth at times-- once I'm comfortable in an environment, I no longer feel that I'm in the right place. While travelling and supporting myself did provide the opportunity to redraw some of my personal boundaries, I feel that the challenges presented by university offer the greatest potential for personal growth at this point in my life.
As for my choice of degree-- while my interests lie in the conceptual, I personally feel unfulfilled unless my actions have a direct, beneficial impact on the lives of others. I've always been interested in the interplay between theory and practice, especially regarding how we (humans) approach problems of all kinds (social, ethical, environmental, analytical, physical)-- Engineering Science ostensibly engages with this idea directly and therefore seemed like the most appealing program to me. ",Being able to contribute to the world in a way that directly benefits individuals,"Personal growth (self-awareness, personal understanding, enlightenment, fulfillment)",Defying expectations (internal and external),,GA01,GA12,GA04,GA02,GA05,GA09,GA10,GA07,GA06,GA08,GA03,GA11,GA01,GA05,GA04,GA02,GA11,GA07,GA03,GA08,GA06,GA09,GA10,GA12,GA01,GA05,GA04,GA02,GA10,GA09,GA03,GA07,GA06,GA08,GA11,GA12,Y,Y
U,S,S,U,U,S,U,U,S,U,S,U,S,S,R,S,U,2,9,4,2,9,Assimilator,,20,20,N,T,,B,B,B,A,A,A,A,B,B,B,A,A,A,A,A,B,A,B,2,7,8,1,R,RA,A,Driver,,,N,,B,A,B,B,B,B,B,B,A,B,A,A,A,B,B,B,A,B,B,B,A,B,A,A,B,B,B,B,B,B,B,B,A,B,B,A,A,A,B,A,B,B,A,A,4,7,2,9,6,5,5,6,-3,-7,1,-1,,1,slightly,slightly Reflective,,1,moderately,moderately Intuitive,,1,slightly,slightly Verbal,,1,slightly,slightly Global,,VM,VM,S,NM,S,VM,NM,S,M,M,S,M,,3.4,,Y,,,,,Y,,Y,,,,,,,,,Y,,,,,,,,,Y,,,,,,,Comfy,Comfy,Comfy,Manag,Comfy,Comfy,,,,,,,,,,,,,,,,,,,,,,,,,Manag,Comfy,Frust,Frust,Comfy,Frust,,,,,,,,,,,,,,,,,,,,,,,,,Gujarati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comfy,Comfy,Frust,Frust,Comfy,Frust,"My father is a Chemical Engineer working in oil and gas in Alberta so being influenced by an engineer has been very prominent in my life. I had no intention of becoming a chemical engineer, but the variety and exposure that the engineering offers as a discipline was very intriguing. Although other paths such as pursuing literature or science would be really interesting to learn about with immediate access to electives in various fields no other option offered the ability to have such a concrete impact on society as much an becoming an engineer. ",Self-fulfillment ,Making my parents sacrifices worth it and surpassing their expectations ,"Solving problems in a variety of areas, and having a lasting impact with my thoughts ",,GA12,GA09,GA10,GA07,GA01,GA02,GA03,GA06,GA11,GA04,GA08,GA05,GA01,GA07,GA08,GA11,GA06,GA09,GA02,GA03,GA04,GA12,GA10,GA05,GA02,GA04,GA09,GA10,GA12,GA07,GA03,GA11,GA06,GA01,GA05,GA08,Y,Y
R,S,R,U,S,R,S,U,S,U,U,U,S,U,S,U,U,0,7,8,2,8,Converger,,45,60,N,N,,B,B,B,B,B,A,B,B,B,A,B,A,B,A,A,B,B,B,3,6,2,7,R,RB,B,Expressive,,,N,,B,A,A,A,A,A,B,B,A,A,A,A,A,B,B,B,A,B,B,A,A,A,B,A,A,B,B,B,B,B,B,A,A,A,B,A,A,A,B,B,B,B,A,B,9,2,1,10,8,3,6,5,7,-9,5,1,,1,moderately,moderately Reflective,,1,very strongly,very strongly Intuitive,,1,moderately,moderately Verbal,,1,slightly,slightly Global,,S,M,M,NM,M,VM,S,NM,VM,M,M,VM,,3.3,,Y,,,,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,Comfy,Comfy,Manag,Comfy,Comfy,Comfy,,,,,,,,,,,,,,,,,,,Frust,Manag,Comfy,Frust,Manag,Comfy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Engineering offers the most tangible application of complex ideas and advanced knowledge into the real world. The disconnect present in other programs would make me feel like what I have learned is not applicable in the improving of society and the solving problems that humans are faced with. I wanted to better understand the concepts I could apply before using them so getting an undergraduate degree and possibly a masters would allow me to use a much broader and deeper understanding in whatever field I end up in whether that be research or the work force. ,Gaining understanding of the world around me and using it to better the world around me,Having a secure job due to a high level of education (hopefully) so I can live in comfort,Providing for and being able to have a family,,GA09,GA04,GA07,GA12,GA02,GA06,GA10,GA08,GA03,GA01,GA11,GA05,GA01,GA07,GA11,GA06,GA05,GA02,GA04,GA03,GA09,GA10,GA08,GA12,GA07,GA09,GA06,GA04,GA02,GA12,GA01,GA05,GA10,GA08,GA03,GA11,Y,Y
S,S,R,U,U,S,U,S,S,S,U,U,U,S,R,S,U,2,7,4,4,7,Assimilator,,45,45,N,N,,B,B,B,B,B,A,B,B,B,A,B,B,B,B,B,B,A,A,3,6,1,8,R,RB,B,Expressive,,,N,,A,A,A,A,B,B,A,A,B,A,A,A,A,A,A,A,A,B,A,B,B,A,A,A,B,A,A,A,B,A,A,A,A,A,B,A,A,B,A,A,B,A,A,A,7,4,10,1,11,0,5,6,3,9,11,-1,,1,slightly,slightly Reflective,,1,very strongly,very strongly Intuitive,,1,very strongly,very strongly Verbal,,1,slightly,slightly Global,,M,M,VM,S,M,VM,M,NM,VM,S,M,VM,,3.2,,Y,,,,,,,Y,,,,,,,Y,,,,Y,,,,,,,,,,,,,,Comfy,Comfy,Comfy,Comfy,Comfy,Comfy,,,,,,,,,,,,,,,,,,,Comfy,Manag,Comfy,Comfy,Manag,Comfy,,,,,,,,,,,,,,,,,,,Manag,Comfy,Manag,Manag,Comfy,Frust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I have always loved science and problem-solving. As a very diligent person with great critical-thinking abilities, I believe I am very fit to be an engineer. In addition, I thought that engineering would be a lot of fun. This field of study is essential for the survival of a community as engineers come up with solutions to difficult problems and have a significant impact on our daily lives.",Learning fun things and being great at them,Being a unique person,Receiving a lot of respect,,GA02,GA07,GA09,GA01,GA03,GA04,GA05,GA06,GA10,GA08,GA12,GA11,GA02,GA03,GA04,GA01,GA11,GA08,GA07,GA05,GA06,GA09,GA12,GA10,GA02,GA04,GA05,GA06,GA03,GA09,GA07,GA01,GA08,GA12,GA11,GA10,Y,Y
S,S,S,S,U,S,R,S,R,S,U,S,U,R,S,U,U,2,2,9,4,9,Converger,,15,15,N,T,,B,B,B,B,B,A,B,B,A,A,B,B,B,A,A,B,B,B,4,5,1,8,R,RB,B,Expressive,,,N,,B,B,A,A,A,A,B,B,B,A,B,A,A,B,A,B,A,A,A,A,A,B,B,B,A,B,B,A,B,A,A,A,B,A,B,B,B,A,B,A,B,A,A,A,7,4,2,9,8,3,6,5,3,-7,5,1,,1,slightly,slightly Reflective,,1,moderately,moderately Intuitive,,1,moderately,moderately Verbal,,1,slightly,slightly Global,,NM,S,M,S,NM,VM,NM,S,VM,M,S,M,,3.5,,,,,Y,,Y,,,,,,,,,Y,,,,,,,,,,,Y,,,,,,,Comfy,Comfy,Comfy,Comfy,Comfy,Comfy,,,,,,,,,,,,,,,,,,,Manag,Comfy,Manag,Manag,Comfy,Manag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dutch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comfy,Comfy,Manag,Manag,Comfy,Comfy,I am interested in utilizing my scientific knowledge to improve the lives around me. I love the fundamentals of science but I am more exciting to learn science and the application of science  to help people other than just for my own intrinsic gain.,"making myself proud, by feeling I have fulfilled my potential",making my family proud,making money to travel,,GA02,GA03,GA12,GA01,GA10,GA09,GA08,GA07,GA04,GA05,GA06,GA11,GA08,GA01,GA04,GA07,GA05,GA02,GA11,GA06,GA12,GA03,GA10,GA09,GA02,GA03,GA07,GA04,GA01,GA09,GA08,GA10,GA05,GA06,GA11,GA12,Y,N
S,S,S,U,U,U,S,U,U,S,S,S,U,S,S,U,U,1,4,7,5,7,Converger,,20,20,N,T,,B,B,B,B,A,B,A,A,A,B,A,A,A,A,A,A,A,A,5,4,7,2,L,LA,A,Analytical,,,N,,B,B,A,A,B,B,B,B,B,A,A,A,A,A,A,B,A,B,B,B,A,B,B,B,A,A,A,A,B,A,A,A,B,B,A,A,B,B,B,A,B,B,B,B,3,8,4,7,8,3,5,6,-5,-3,5,-1,,1,moderately,moderately Reflective,,1,slightly,slightly Intuitive,,1,moderately,moderately Verbal,,1,slightly,slightly Global,,M,M,NM,NM,S,M,S,S,M,M,S,M,,3.3,,,,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,Comfy,Comfy,Comfy,Comfy,Manag,Comfy,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comfy,Comfy,Manag,Comfy,Comfy,Comfy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"In high school, I enjoyed learning mathematics and physics more than any other school subjects. Therefore, I thought choosing a major that is closely related to mathematics and physics would suit my learning interests.

I aspire to become an entrepreneur in the technology industry, to create solutions that address shortcomings in the society. I believe that an important quality for me to have is to have a solid understanding in related  technologies. It will allow me to truly oversee both business and R&D sides of the company. In addition, the analytical approach and problem-solving skills that I will obtain as an engineering student will benefit me to manage and grow my business.",Making something that benefits the society,Leading and educating other people,Having the freedom and capability to pursue my personal dreams,,GA10,GA09,GA03,GA02,GA04,GA11,GA06,GA08,GA07,GA01,GA05,GA12,GA05,GA01,GA07,GA06,GA11,GA04,GA02,GA08,GA03,GA10,GA09,GA12,GA05,GA01,GA04,GA02,GA03,GA11,GA06,GA07,GA09,GA10,GA08,GA12,Y,Y
